n,generate_rotations_time,create_associahedron_time,compute_distances_time
3,0.00027441978454589844,0.001909494400024414,0.0004951953887939453
4,0.0011267662048339844,0.0014147758483886719,0.0016682147979736328
5,0.00569915771484375,0.006077766418457031,0.005306720733642578
6,0.015468358993530273,0.030054092407226562,0.03990507125854492
7,0.15858840942382812,0.11802792549133301,0.29259753227233887
