n,generate_rotations_time,create_associahedron_time,compute_distances_time
3,0.0003001689910888672,0.0014495849609375,0.0003027915954589844
4,0.0011394023895263672,0.001984834671020508,0.0011115074157714844
5,0.003244161605834961,0.007703065872192383,0.006120443344116211
6,0.015402555465698242,0.028702259063720703,0.041739463806152344
7,0.1691269874572754,0.1320044994354248,0.3145313262939453
